id;nom;idgenre
729;darren star;
1162;anouar el alami;
970;julien hallard;
972;dominique farrugia;
730;matt bloom ronan burke robert burke;
973;elsa bennett hippolyte dard;
1157;arnaud viard;
1156;santiago mitre;
975;marion vernoux;
977;judith davis;
735;emmanuelle bercot;
978;maiwenn;
979;antonin delaroche-vernet;
738;stephane demoustier;
1176;olivier marquezy;
1174;geoff sax;
1173;maxime taris;
1171;byun hyuk;
980;emma de caunes;
740;lucie borleteau;
1169;xavier de choudens;
500;cecilia de arce;
742;cedric ido;
1167;david foenkinos;
743;jeffrey reiner;
501;philippe faucon;
986;michel denisot;
744;christian faure;
745;jean-marc rudnicki;
746;julien rambaldi;
988;jeremie renier;
505;gabrielle floquet;
747;guillaume vatan;
507;sergio castellitto;
508;anne gaelle daval;
509;hafidi abdelouahed;
1187;ignacio clemente mateos;
1184;foazan rizal;
1183;francois-regis jeanne;
1181;denis imbert;
991;maryel devera;
751;fred garson;
752;nathan silver;
995;nicolas silhol;
512;jean francois richet;
996;dany boon;
1177;simon astier;
514;jean-christophe delpias;
999;michael marie;
758;douglas;
516;kilian riedhof;
1197;association cdcl;
1194;charline bourgeois tacquet;
1192;monsieur mohamed hamidi;
760;gilles bourdos;
762;zhou yao wu;
521;mathieu sapin;
1189;louis choquette;
765;dominik moll;
524;alan swyer;
767;antony hickling;
526;julie manoukian;
768;francois de joussineau;
527;yuki saito;
769;douglas attal;
528;cyril mennegun;
529;lidia terki;
531;emmanuel mouret;
773;trivikram srinivas;
777;sebastien laugier;
778;simon kinberg;
536;michael schur;
537;matt bloom ronan burke;
538;mia engberg;
540;virginie hervieu;
783;ziad doueiri;
542;ludovic bernard;
785;jean philippe amar;
543;manuel boursinhac;
303;jacqueline lentzou;
546;oded ruskin;
788;roxane delomas;
547;nolwenn lemesle;
305;eloise lang;
548;frederic farrucci;
308;thomas cailley;
791;slimane-baptiste berhoun;
550;frederic balekdjian;
792;antoine de maximy;
793;alex de la iglesia;
794;zabou breitman;
310;guillaume brac;
553;anne giafferi;
311;christophe honore;
554;mohamed hamidi;
313;damien chazelle;
798;julien zidi;
315;lee sang yeop;
559;michel hazanavicius;
318;charles van tieghem;
560;mamane;
563;mathilde	vallet;
322;nicolas maury;
565;claus drexler;
325;azazel jacobs;
568;daniel roby;
569;alexei popogrebsky;
570;xavier legrand;
331;olivier barma;
573;samba mballo;
574;ludovic colbeau-justin;
575;octave raspail;
576;paul walker;
577;cathy verne;
335;pierre aknin philippe larue;
337;eric metayer;
580;christophe duthuron;
340;sophie levy;
582;jeffrey chiang;
341;christopher mac quarrie;
100;regis roinsard;
586;mikhael hers;
103;pascal elbe;
104;marcela said;
588;franchin dom;
589;melanie laurent;
347;emilie carpentier;
105;mia hanse-love;
348;pascal bonitzer;
106;noemie saglio;
108;thomas langmann;
592;thierry petit;
350;jean-christophe meurisse;
351;ines reg kevin debonne;
352;pierre aknine;
110;david diane;
353;antonio negret;
597;olivier van hoofstadt;
114;christophe campos;
599;edouard bergeon;
357;shaun severi;
358;geraldine nakache;
359;wagner de assis;
117;elena cosson;
11;francois descraques;
13;sylvain cattenoy;
15;felix moati;
121;olivier dahan;
364;jean francois davy;
365;suzanne lindon;
25;benjamin euvrard;
29;marino giardinelli;
370;jean-paul rouve;
373;pierre dudan;
133;p. de chauveron;
375;olivier nakache;
134;maimouna doucoure;
376;roman polanski;
135;marion desseigne ravel;
377;geraldine de margerie;
379;christopher mac-quarrie;
31;stephanie pilonca;
34;gabriel julien lafferiere;
36;frederic tellier;
37;nine antico;
1809;damien maric;
140;jean-marc brondolo;
382;anne depetrini;
142;(matt quezada) 2nde equipe paris xavier roy;
1800;eric rochant jacques audiard anna novion samuel collardey;
143;claire denis;
387;ratp/we are social;
145;emmanuel gillibert;
146;peter atencio;
149;l. colbeau justin;
1808;tonie marshall;
42;etienne chatiliez;
1802;matthieu moerlen;
43;bruno dumont;
45;pierre pinaud;
47;alexandre de la patelliere;
48;julien despaux;
150;christophe barratier;
393;chad chenouga;
396;bryan marciano;
397;nicolas saada;
155;gerard bitton;
1810;daniel syrkin;
156;remi bezancon;
398;richard jobson;
399;axelle ropert;
159;masaki nishiura;
1817;jean christophe delpias;
51;diane kurys;
1814;leila marrakchi;
54;fred cavaye;
57;arnaud selignac;
59;nicole garcia;
162;ludovic colbeau;
164;noel herpe;
165;cathy verney;
166;claude lelouch;
169;manu joucla;
1828;anne le ny;
1827;slimane-baptiste berhoun;
1823;herve mimran;
65;alex lutz;
66;david moreau;
173;francois-regis jeanne;
174;stephane artus;
1833;emmanuel finkiel;
177;safy nebbou;
1832;marc recuenco;
1831;michael youn;
1830;dominique rocher;
70;tristan seguela;
1839;giovanni aloi;
72;olivier marchal;
1838;elie wajeman;
73;anne fontaine;
74;vincent primault;
75;thierry de peretti;
1834;rizal mantovani;
77;victor saint macary;
78;jonathan desoindre;
180;alexia walther;
181;thomas kruithof;
182;yishu yang;
183;aguendia fotabong;
184;guillaume cremonese;
187;clint eastwood;
1602;philippe lefebvre;
188;fabien cavalerie;
1601;gabriel laferriere;
189;thomas bourguignon;
80;virgine scswartz;
1609;jean-baptiste dusseaux;
81;marine colomies;
1608;nicolas bedos;
1607;tessa schram;
1849;laurent perreau;
84;pierre trividic patrick mario bernard;
1847;martin thibaut;
1605;clement michel;
88;magaly richard serrano;
89;nicolas bary;
193;fanny sidney;
195;lana wachowski;
196;julien abraham;
1850;ludovic colbeau justin;
90;lou jeunet;
93;audrey dana;
1617;jean paul civeyrac;
1859;franck dubosc;
1858;nicolas guicheteau;
96;julien colonna;
