id;titre;annee;genre;auteur;lieu;note
8587;barber truck;;;1047;8587;-1.0
8588;lebowitz contre lebowitz 2;;;331;8588;-1.0
8104;blackpills/virgin;;;0;8104;-1.0
281;les meufs;;;280;281;-1.0
8581;la ch'tite famille;;;0;8581;-1.0
8580;les affames;2018;7;1798;8580;4.3
7264;the eddy;2020;1;639;7264;7.2
8596;un homme presse;;;1823;8596;-1.0
8597;gemini;2017;11;341;8597;5.4
8113;juste un regard;2017;10;574;8113;6.4
8594;sauver ou perir;;;36;8594;-1.0
8595;colette;2018;8;1547;8595;6.7
5089;30 vies;2011;1;791;5089;6.6
8116;j'ai menti;;;1434;8116;-1.0
8117;des lunettes noires;;;143;8117;-1.0
8598;l'extraordinaire voyage du fakir;;;1632;8598;-1.0
8599;jalouse;2009;;1167;8599;-1.0
8115;ami, ami;;;77;8115;-1.0
8592;a jamais fidele;;;1269;8592;-1.0
8593;taxi 5;2018;10;0;8593;4.7
8109;eiffel i'm in love 2;2018;1;1834;8109;6.9
7275;alice nevers le juge est une femme/86 et 87;;;1742;7275;-1.0
8123;les chatouilles 4;;;1738;8123;-1.0
8128;miss;2006;7;497;8128;7.8
8126;l'attache;2019;15;481;8126;-1.0
5092;le discours;1905;15;623;5092;-1.0
8120;la croisade (sequences bonus);;;261;8120;-1.0
2812;alice nevers episodes 96,97 saison 15;;;0;2812;-1.0
1965;chroniques parisiennes 7;;;0;1965;-1.0
8118;sam saison 5;;;563;8118;-1.0
8119;l'enkas;;;1779;8119;-1.0
8135;les traducteurs;2019;3;0;8135;6.5
8132;splendor in a glass;;;605;8132;-1.0
8139;andy;2019;7;1688;8139;5.0
8137;yves;2007;14;403;8137;5.6
8131;enchantees;1947;14;173;8131;-1.0
2825;les footeuses;;;554;2825;-1.0
8143;engrenages s7;;;0;8143;-1.0
8149;alexandre;1983;1;0;8149;6.3
7291;l'agent immobilier;2014;15;601;7291;-1.0
7293;profilage/n°69;;;0;7293;-1.0
2838;chroniques parisiennes 21;;;0;2838;-1.0
8154;friendzone;2011;27;318;8154;6.4
8155;l'art du crime saison 2;;;0;8155;-1.0
8159;les bonnes intentions;;;1040;8159;-1.0
8167;engrenages saison 7 episode 7 a 12;;;785;8167;-1.0
