key_film;TITRE;AUTEUR;nbEmprunt;annee_tournage;type_tournage;imdbid;year;rating
9135;that awkward moment;;;;;1800246;2014;3
9136;ten;;;;;0301978;2002;3
9137;enemy of the state;;;;;0120660;1998;1
9138;maps to the stars;cronenberg, david;180;;;;;
9139;georgy girl;;;;;0060453;1966;3
9140;best man down;;;;;1885300;2012;3
9141;land before time viii: the big freeze, the;;;;;0301526;2001;3
9142;monsoon wedding;;;;;0265343;2001;3
9143;beau travail;;;;;0209933;1999;3
9144;epic movie;;;;;0799949;2007;3
9145;der geteilte himmel (divided heaven);;;;;0058139;1964;2
9146;bad education;;;;;8206668;2019;3
9147;my side of the mountain;;;;;0064708;1969;1
9148;when we first met;;;;;5783956;2018;2
9149;beatriz at dinner;;;;;5929750;2017;3
9150;descendants, the;;;;;1033575;2011;3
9151;barbara;amalric, mathieu;282;;;;;
9152;they shall not grow old;;;;;7905466;2018;0
9153;secret of moonacre, the;;;;;0396707;2008;3
8862;police;anne fontaine;;2019;long metrage;;;
9154;magic of belle isle, the;;;;;1839654;2012;3
9155;indestructible man;;;;;0049363;1956;1
9156;winter's tale;;;;;1837709;2014;3
9157;igor;;;;;0465502;2008;2
3598;maya;mia hanse-love;;2017;long metrage;;;
9158;great vazquez, the;;;;;1525915;2010;3
9159;2 seconds;;;;;0158446;1998;3
9160;casa de los babys;;;;;0303830;2003;3
9161;captain america: civil war;;;;;3498820;2016;3
9162;shut em up;;;;;0465602;2007;1
9163;hemingway &amp  gellhorn;;;;;0423455;2012;2
9164;primal fear;;;;;0117381;1996;1
9165;hotel transylvania;;;;;0837562;2012;3
9166;devil's advocate, the;;;;;0118971;1997;3
9167;friday the 13th part iii;;;;;0083972;1982;3
9168;red joan;;;;;7615302;2018;3
9169;superman ii;;;;;0081573;1980;3
8760;jeune femme;leonor serraille;;2016;long metrage;;;
9170;la reine des pommes;donzelli, valerie.;295;;;;;
9171;36 quai des orfevres;marchal, olivier;182;;;;;
9172;wasp woman, the;;;;;0054462;1959;3
9173;pacific rim;toro, guillermo del;575;;;;;
9174;arachnoquake;;;;;2151543;2012;3
9175;away from her;;;;;0491747;2006;3
9176;day after tomorrow, the;;;;;0319262;2004;3
9177;&quot masters of horror&quot  the black cat;;;;;0785533;2007;0
9178;pirates des caraibes 4 : la fontaine de jouvence;marshall, rob;1018;;;;;
9179;descent, the;;;;;0435625;2005;3
9180;teen witch;;;;;0098453;1989;3
9181;free solo;;;;;7775622;2018;1
9182;dark days;;;;;0235327;2000;0
9183;hobbit: the desolation of smaug, the;;;;;1170358;2013;3
9184;man from earth, the;;;;;0756683;2007;1
9185;sweet home alabama;;;;;0256415;2002;3
9186;hyppolit a lakaj;;;;;0021985;1931;1
9187;action jackson;;;;;0094612;1988;1
9188;7 letters;;;;;4691166;2015;3
9189;salmonberries;;;;;0102829;1991;3
9190;voltron: legendary defender;;;;;5580664;2016;3
9191;dinosaur;;;;;0130623;2000;3
9192;juno and the paycock [the shame of mary boyle];;;;;0021015;1929;3
9193;guernsey literary and potato peel pie society, the;;;;;1289403;2018;3
9194;caramel;labaki, nadine;512;;;;;
9195;handsome devil;;;;;5016946;2016;1
9196;miss congeniality 2: armed &amp  fabulous;;;;;0385307;2005;3
9197;they came together;;;;;2398249;2014;3
9198;kumiko, the treasure hunter;;;;;3263614;2014;3
9199;love &amp  suicide;;;;;0818940;2006;3
9200;already tomorrow in hong kong;;;;;3700804;2015;2
8131;enchantees;saphia azzedine et francois-regis jeanne;;2017;long metrage;;;
9201;starving games, the;;;;;2403029;2013;3
9202;le samourai;;;;;0062229;1967;1
9203;interior. leather bar.;;;;;2352488;2013;1
9204;femme fatale;;;;;0280665;2002;3
9205;signal, the;;;;;0780607;2007;2
9206;signs;;;;;0286106;2002;1
9207;blade ii;;;;;0187738;2002;1
9208;parlez-moi de vous;pinaud, pierre;390;;;;;
9209;tabu: a story of the south seas;;;;;0022458;1931;0
9210;voyage vers agartha;shinkai, makoto;911;;;;;
9211;black cauldron, the;;;;;0088814;1985;3
9212;what if;;;;;1486834;2013;3
9213;starlet;;;;;2035630;2012;3
9214;blood of the vampire;;;;;0051422;1958;0
9215;high crimes;;;;;0257756;2002;3
3332;un village francais;jean philippe amar;;2017;serie tv;;;
9216;blue hawaii;;;;;0054692;1961;3
9217;sharknado 5: global swarming;;;;;6298780;2017;3
9218;les saphirs;blair, wayne;167;;;;;
9219;flushed away;;;;;0424095;2006;0
9220;murder on the orient express;;;;;3402236;2017;3
9221;les vies privees de pippa lee;miller, rebecca;319;;;;;
9222;jimmy's hall;;;;;3110960;2014;1
9223;high art;;;;;0139362;1998;3
9224;hot shots!;;;;;0102059;1991;1
5519;un couteau dans le coeur;;;2017;long metrage;;;
9225;adult world;;;;;1067765;2013;3
9226;unfaithful;;;;;0250797;2002;3
9227;harvey milk;van sant, gus;753;;;;;
9228;aladdin;musker, john;771;;;;;
9229;ant-man et la guaepe;reed, peyton;288;;;;;
9230;jusqu'a la garde (custody);;;;;6002232;2017;3
9231;romeo must die;;;;;0165929;2000;0
9232;un jour de pluie aa new york;allen, woody;83;;;;;
9233;la tia tula;;;;;0058695;1964;3
9234;les indestructibles 2;bird, brad;401;;;;;
9235;professor layton and the eternal diva;;;;;1488591;2009;3
9236;mother!;;;;;5109784;2017;2
9237;welcome;lioret, philippe;763;;;;;
9238;dead space: downfall;;;;;1267379;2008;2
9239;another me;;;;;1816608;2013;3
9240;last sharknado: it's about time, the;;;;;8031422;2018;3
9241;astaerix et obaelix au service de sa majestae;tirard, laurent;129;;;;;
9242;voices of a distant star;;;;;0370754;2003;0
9243;dark harbor;;;;;0129023;1998;1
6800;toucouleur (yao);philippe godeau;;2017;long metrage;;;
9244;some like it hot;;;;;0053291;1959;3
9245;clover;;;;;0124317;1997;3
9246;parle avec elle;almodovar, pedro;337;;;;;
9247;dumplin';;;;;4878482;2018;3
9248;bring it on: fight to the finish;;;;;1349482;2009;3
9249;inside llewyn davis;coen, joel;910;;;;;
9250;mfkz;;;;;4717402;2017;0
9251;resident evil: the final chapter;;;;;2592614;2016;3
9252;kirikou et les hommes et les femmes;ocelot, michel;1961;;;;;
5018;la grande deraille - additif n° 1;benjamin euvrard;;2019;long metrage;;;
9253;according to greta;;;;;1059925;2009;3
9254;two-minute warning;;;;;0075359;1976;1
9255;goodbye bafana;august, bille;323;;;;;
9256;starbuck;scott, ken;171;;;;;
9257;hollow, the;;;;;4472596;2015;3
9258;h.;;;;;3666210;2014;1
9259;la llamada;;;;;5176252;2017;3
9260;to the wonder;;;;;1595656;2012;3
9261;jesus christ vampire hunter;;;;;0311361;2001;1
9262;escape from new york;;;;;0082340;1981;0
9263;uncanny;;;;;2321502;2015;0
2758;find me in paris 3;matt bloom et randall thorn;;2017;serie tv;;;
9264;brain that wouldn't die, the;;;;;0052646;1962;2
9265;my old lady;;;;;2908856;2014;3
9266;snow flower and the secret fan;;;;;1541995;2011;3
9267;brendan et le secret de kells;moore, tomm;1062;;;;;
9268;le cercle littaeraire de guernesey;newell, mike;129;;;;;
9269;life of the party;;;;;5619332;2018;3
9270;new-york masala;advani, nikhil;166;;;;;
9271;girltrash: all night long;;;;;1555440;2014;3
9272;prowler, the;;;;;0082951;1981;3
9273;woman times seven;;;;;0062502;1967;3
9274;a chorus line;;;;;0088915;1985;3
9275;hunter prey;;;;;1270291;2010;0
9276;naughty marietta;;;;;0026768;1935;3
9277;mortdecai;;;;;3045616;2015;1
9278;les garcons et guillaume, a table !;gallienne, guillaume;320;;;;;
9279;jack le chasseur de geants;singer, bryan;1059;;;;;
9280;skeptic, the;;;;;0493451;2009;1
9281;tempest, the;;;;;3840898;2014;3
9282;dexter. saison 7, integrale;manos, james jr;175;;;;;
9283;mysterians, the;;;;;0050251;1957;3
9284;sixteen candles;;;;;0088128;1984;3
9285;jeepers creepers ii;;;;;0301470;2003;3
9286;barefoot gen;;;;;0085218;1983;3
9287;brooklyn;;;;;2381111;2015;3
8884;les heritiers;jean marc brondolo;;2020;telefilm;;;
9288;lagaan - once upon a time in india;;;;;0169102;2001;3
9289;ultraviolet;;;;;0370032;2006;1
9290;evil dead ii;;;;;0092991;1987;3
9291;magdalene sisters, the;;;;;0318411;2002;3
9292;widows;;;;;4218572;2018;3
9293;help!;;;;;0013845;1924;0
7233;astrid et raphaelle saison 2;frederic berthe / eric le roux;;2020;serie tv;;;
9294;atlantis conspiracy, the;;;;;0253595;2001;3
9295;la tortue rouge;dudok de wit, michael;216;;;;;
8629;dix pour cent saison 3;antoine garceau et marc fitoussi;;2018;serie tv;;;
9296;river of fundament;;;;;3529612;2014;3
9297;what's eating gilbert grape;;;;;0108550;1993;3
9298;et au milieu coule une riviere;redford, robert;133;;;;;
9299;godzilla vs. gigan;;;;;0068371;1972;1
9300;book club;;;;;6857166;2018;3
8871;au revoir la haut;albert dupontel;;2016;long metrage;;;
4093;uncorked (additif);prentice penny;;2019;long metrage;;;
9301;wayne's world;;;;;0105793;1992;1
9302;scream;;;;;0117571;1996;3
9303;grandmaster, the;;;;;1462900;2013;1
9304;addams family, the;;;;;1620981;2019;3
8593;taxi 5;franck gastambide;;2017;long metrage;;;
9305;pirate fairy, the;;;;;2483260;2014;3
9306;potiche;;;;;1521848;2010;3
9307;l astragale;sy, brigitte;183;;;;;
9308;sea hawk, the;;;;;0033028;1940;3
9309;toy story 3;unkrich, lee;2096;;;;;
9310;hobson's choice;;;;;0047094;1954;3
9311;forrest gump;;;;;0109830;1994;1
9312;shrek;adamson, andrew;807;;;;;
9313;so's your old man;;;;;0017410;1926;3
7684;les chatouilles 2;andreas bescond et eric metayer;;2017;long metrage;;;
9314;danny the dog;;;;;0342258;2005;1
7199;clem;benedicte delmas;;2019;serie tv;;;
9315;sabrina the teenage witch;;;;;0117534;1996;3
9316;emoji movie, the;;;;;4877122;2017;1
9317;bienvenue aa suburbicon;clooney, george;227;;;;;
9318;kentucky fried movie, the;;;;;0076257;1977;1
9319;major and the minor, the;;;;;0035019;1942;3
9320;rat race;;;;;0250687;2001;3
9321;two sisters from boston;;;;;0039054;1946;3
9322;if beale street could talk;;;;;7125860;2018;3
9323;wave (b&oslash lgen), the;;;;;3616916;2015;3
9324;million dollar duck, the;;;;;0066728;1971;1
9325;allies;zemeckis, robert;167;;;;;
9326;black swan;;;;;0947798;2010;3
9327;dracula: prince of darkness;;;;;0059127;1966;1
9328;afternoon delight;;;;;2312890;2013;3
8902;hors normes;eric toledano et olivier nakache;;2018;long metrage;;;
9329;thor: the dark world;;;;;1981115;2013;3
9330;scott pilgrim vs. the world;;;;;0446029;2010;3
9331;defendor;;;;;1303828;2009;1
9332;build my gallows high;;;;;0039689;1947;2
9333;haider;;;;;3390572;2014;2
9334;magic in the water;;;;;0113737;1995;1
9335;love in a puff;;;;;1602479;2010;1
9336;je crois que je l aime;jolivet, pierre;130;;;;;
9337;santa clause 2, the;;;;;0304669;2002;1
9338;otherlife;;;;;4693358;2017;1
7177;mignonnes;maimouna doucoure;;2018;long metrage;;;
9339;blackcoat's daughter, the;;;;;3286052;2015;3
9340;fantastic beasts: the crimes of grindelwald;;;;;4123430;2018;2
9341;little girl;;;;;1426371;2009;3
9342;la caza;;;;;0060223;1966;0
9343;ardor;;;;;1384925;2014;0
9344;raazi;;;;;7098658;2018;3
8016;coup de foudre a bangkok;chris briant;;2020;telefilm;;;
9345;looper;johnson, rian;449;;;;;
9346;sword of the stranger;;;;;1121794;2007;3
9347;please give;;;;;0878835;2010;3
9348;le roi lion;allers, roger;1892;;;;;
9349;my babysitter's a vampire;;;;;1673423;2010;3
9350;bluebeard;;;;;0131934;1901;0
9351;hudson hawk;;;;;0102070;1991;3
9352;invictus;;;;;1057500;2009;1
9353;haywire;;;;;1506999;2011;0
9354;mutant chronicles, the;;;;;0490181;2008;1
9355;i'm reed fish;;;;;0464061;2006;2
9356;deadpool;;;;;1431045;2016;1
9357;exit marrakech;;;;;1982177;2013;2
9358;three musketeers, the;;;;;1509767;2011;2
9359;anguish;;;;;3620762;2015;3
9360;hunger games : la revolte. partie 1;lawrence, francis;324;;;;;
9361;rebecca;hitchcock, alfred;121;;;;;
9362;casi divas;;;;;1049948;2008;3
9363;bag man, the;;;;;2212008;2014;1
9364;21 nuits avec pattie;larrieu, arnaud;556;;;;;
9365;le monde de narnia. chapitre 1 : le lion, la sorciaere blanche et l armoire magique;adamson, andrew;218;;;;;
9366;twelve monkeys;;;;;0114746;1995;1
9367;il etait une fois;lima, kevin;548;;;;;
9368;major league;;;;;0097815;1989;1
9369;black and white;;;;;0165643;1999;3
9370;what to expect when you're expecting;;;;;1586265;2012;3
9371;a turn of the century illusionist;;;;;0000246;1899;0
9372;today we kill, tomorrow we die!;;;;;0063379;1968;0
9373;chloe in the afternoon;;;;;0068205;1972;2
9374;skinwalker ranch;;;;;2881698;2013;0
9375;une nuit terrible;;;;;0000131;1896;0
9376;innan vintern kommer;;;;;7791048;2018;0
9377;patriot, the;;;;;0187393;2000;3
9378;new nightmare;;;;;0111686;1994;3
9379;lakota woman: siege at wounded knee;;;;;0110297;1994;3
8414;temps de chien;edouard deluc;;2018;telefilm;;;
9380;le sens de la faete;toledano, eric;353;;;;;
8551;nox;mabrouk el mechri;;2017;serie tv;;;
9381;evil dead, the;;;;;0083907;1981;1
9382;timecop;;;;;0111438;1994;1
9383;broken flowers;;;;;0412019;2005;3
9384;tomie: re-birth;;;;;0348225;2001;3
9385;octopussy;;;;;0086034;1983;2
9386;mayhem;;;;;4348012;2017;3
9387;police academy 6: city under siege;;;;;0098105;1989;1
9388;rio 2;saldanha, carlos;1027;;;;;
9389;client list, the;;;;;1625340;2010;2
8319;une femme d'exception;eric guirado;;2016;telefilm;;;
9390;marriage italian style;;;;;0058335;1964;3
9391;get carter;;;;;0067128;1971;1
8890;huguette;antoine garceau;;2018;telefilm;;;
