key_lieu;id_lieu;adresse_lieu;ardt_lieu;coord_x;coord_y;geo_shape;geo_point_2d
4255;2018-1087;rue jean-pierre timbaud, 75011 paris;75011;2.3745368;48.866936;"{""type"": ""Point"", ""coordinates"": [2.374536750194232, 48.866937062886805]}";48.8669370629,2.37453675019
4256;2016-312;parc  monceau;75008;2.311263;48.878086;"{""type"": ""Point"", ""coordinates"": [2.311263000129959, 48.87808599962502]}";48.8780859996,2.31126300013
4257;2017-507;quai de montebello, 75005 paris;75005;2.349244;48.851944;"{""type"": ""Point"", ""coordinates"": [2.349244050224073, 48.85194261874616]}";48.8519426187,2.34924405022
4258;2016-2374;63  boulevard  des batignolles;75017;2.32123;48.882435;"{""type"": ""Point"", ""coordinates"": [2.321229999841929, 48.88243500001092]}";48.882435,2.32122999984
4259;2018-727;146 quai de jemmapes, 75010 paris;75010;2.365846;48.876972;"{""type"": ""Point"", ""coordinates"": [2.365845873836808, 48.876973056005696]}";48.876973056,2.36584587384
4260;2016-2531;place  vauban;75007;2.311754;48.853058;"{""type"": ""Point"", ""coordinates"": [2.311754000094262, 48.85305599965196]}";48.8530559997,2.31175400009
4261;2016-718;1  place  du parvis de notre dame;75004;2.347729;48.854343;"{""type"": ""Point"", ""coordinates"": [2.347728999849449, 48.85434200014986]}";48.8543420001,2.34772899985
4262;2016-315;rue  de terre neuve;75020;2.398647;48.85472;"{""type"": ""Point"", ""coordinates"": [2.398646999927329, 48.85472099977347]}";48.8547209998,2.39864699993
4263;2017-561;26 boulevard de clichy, 75018 paris;75018;2.337098;48.88267;"{""type"": ""Point"", ""coordinates"": [2.337097873322636, 48.88267037678423]}";48.8826703768,2.33709787332
4264;2016-2381;parking  route du point de vue;75012;2.4512;48.81855;"{""type"": ""Point"", ""coordinates"": [2.451200000057193, 48.818552000390994]}";48.8185520004,2.45120000006
4265;2018-728;15 avenue hoche, 75008 paris;75008;2.3031378;48.876953;"{""type"": ""Point"", ""coordinates"": [2.303137885134749, 48.87695296170397]}";48.8769529617,2.30313788513
4266;2016-2573;boulevard  serrurier;75019;2.396264;48.88251;"{""type"": ""Point"", ""coordinates"": [2.396264000223807, 48.88251199965554]}";48.8825119997,2.39626400022
4267;2016-742;24/45  rue  caumartin;75009;2.328241;48.872974;"{""type"": ""Point"", ""coordinates"": [2.328241000673458, 48.87297399993257]}";48.8729739999,2.32824100067
4268;2016-330;11 bis  rue  du perche;75003;2.360985;48.860985;"{""type"": ""Point"", ""coordinates"": [2.360985000026246, 48.86098300044693]}";48.8609830004,2.36098500003
4269;2017-435;place de la porte de montreuil, 75020 paris;75020;2.4139693;48.85463;"{""type"": ""Point"", ""coordinates"": [2.41396937124513, 48.8546281875887]}";48.8546281876,2.41396937125
4270;2020-836;7 rue raffaelli, 75016 paris;75016;2.2556753;48.843178;"{""type"": ""Point"", ""coordinates"": [2.255675218453227, 48.843178238253664]}";48.8431782383,2.25567521845
4271;2018-539;31 rue vandrezanne, 75013 paris;75013;2.3538644;48.827328;"{""type"": ""Point"", ""coordinates"": [2.353864554518695, 48.8273262450586]}";48.8273262451,2.35386455452
4272;2020-1005;avenue kleber, 75116 paris;75116;2.290711;48.867813;"{""type"": ""Point"", ""coordinates"": [2.290710957267046, 48.8678131011156]}";48.8678131011,2.29071095727
4273;2016-747;89  rue  du faubourg saint antoine;75011;2.37514;48.85164;"{""type"": ""Point"", ""coordinates"": [2.375139999780736, 48.851640000416744]}";48.8516400004,2.37513999978
4274;2016-342;23  rue  du docteur potain;75019;2.397805;48.87712;"{""type"": ""Point"", ""coordinates"": [2.397805000517213, 48.87712200006288]}";48.8771220001,2.39780500052
4275;2017-447;1 rue jouye-rouve, 75020 paris;75020;2.382778;48.873215;"{""type"": ""Point"", ""coordinates"": [2.382777871382864, 48.873214025847275]}";48.8732140258,2.38277787138
4276;2020-845;168 avenue d'italie, 75013 paris;75013;2.3585312;48.821182;"{""type"": ""Point"", ""coordinates"": [2.358531340603844, 48.82118247178886]}";48.8211824718,2.3585313406
4277;2018-544;rue taitbout, 75009 paris;75009;2.3353193;48.873623;"{""type"": ""Point"", ""coordinates"": [2.335319181865461, 48.873622771436004]}";48.8736227714,2.33531918187
4278;2020-1006;avenue kleber, 75116 paris;75116;2.290711;48.867813;"{""type"": ""Point"", ""coordinates"": [2.290710957267046, 48.8678131011156]}";48.8678131011,2.29071095727
4279;2018-1356;12 rue de berri, 75008 paris;75008;2.304439;48.872498;"{""type"": ""Point"", ""coordinates"": [2.304439125703604, 48.87249771130735]}";48.8724977113,2.3044391257
4280;2016-362;place  des voges;75004;2.365625;48.854977;"{""type"": ""Point"", ""coordinates"": [2.365625000300946, 48.85497799998932]}";48.854978,2.3656250003
4281;2017-636;40 rue etienne dolet, 75020 paris;75020;2.3860946;48.868183;"{""type"": ""Point"", ""coordinates"": [2.386094663226551, 48.86818288999607]}";48.86818289,2.38609466323
4282;2020-866;17 rue de la roquette, 75011 paris;75011;2.3716576;48.85447;"{""type"": ""Point"", ""coordinates"": [2.371657693126118, 48.85446752383764]}";48.8544675238,2.37165769313
4283;2018-644;90 avenue mozart, 75016 paris;75016;2.2675083;48.851562;"{""type"": ""Point"", ""coordinates"": [2.267508321027394, 48.85156363281473]}";48.8515636328,2.26750832103
4284;2020-1009;place de l'opera, 75009 paris;75009;2.3318746;48.87109;"{""type"": ""Point"", ""coordinates"": [2.331874565395843, 48.87108979466138]}";48.8710897947,2.3318745654
4285;2018-1370;10 villa gagliardini, 75020 paris;75020;2.4037676;48.875515;"{""type"": ""Point"", ""coordinates"": [2.403767586286027, 48.87551457849415]}";48.8755145785,2.40376758629
4286;2016-365;place  sainte genevieve;75005;2.347028;48.846638;"{""type"": ""Point"", ""coordinates"": [2.347028000054807, 48.84663699975175]}";48.8466369998,2.34702800005
4287;2017-647;10 rue cabanis, 75014 paris;75014;2.3401098;48.830364;"{""type"": ""Point"", ""coordinates"": [2.34010988038855, 48.83036253527956]}";48.8303625353,2.34010988039
4288;2020-882;33 avenue george v, 75008 paris;75008;2.3007967;48.8691;"{""type"": ""Point"", ""coordinates"": [2.3007968542701542, 48.869098552593]}";48.8690985526,2.30079685427
4289;2018-467;3 rue nicolas flamel, 75004 paris;75004;2.349325;48.858704;"{""type"": ""Point"", ""coordinates"": [2.349324915763626, 48.858702924457454]}";48.8587029245,2.34932491576
4290;2020-1030;83 avenue kleber, 75116 paris;75116;2.28869;48.86463;"{""type"": ""Point"", ""coordinates"": [2.288690020207358, 48.86463119717762]}";48.8646311972,2.28869002021
4291;2018-1380;rue clisson, 75013 paris;75013;2.366378;48.83138;"{""type"": ""Point"", ""coordinates"": [2.366378020253771, 48.83137731685392]}";48.8313773169,2.36637802025
4292;2016-372;place  de la republique dominicaine;75008;2.30904;48.880417;"{""type"": ""Point"", ""coordinates"": [2.309039999330394, 48.8804170000668]}";48.8804170001,2.30903999933
4293;2017-689;49 rue de la montagne sainte-genevieve, 75005 paris;75005;2.3480372;48.846825;"{""type"": ""Point"", ""coordinates"": [2.348037319877769, 48.84682456071752]}";48.8468245607,2.34803731988
